Year League,Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,â‰¥.500,<.500,ExInn,Ties
1871 NA_Season,6,Troy Haymakers,13,15,0.464,8.0,21.5,12.1,12.5,-0.4,0.0,-0.3,14-14,-1.0,7-9,6-6,2-0,13-15,0-0,5-10,8-5,,
1871 NA_Season,7,Cleveland Forest Citys,10,19,0.345,11.5,44.5,8.6,11.8,-3.2,0.1,-3.1,10-19,0.0,3-10,7-9,3-0,8-17,2-2,2-11,8-8,,
1871 NA_Season,8,Fort Wayne Kekiongas,7,12,0.368,9.5,30.5,7.2,12.8,-5.6,0.2,-5.4,5-14,2.0,5-4,2-8,0-0,6-11,1-1,1-8,6-4,,
1871 NA_Season,9,Rockford Forest Citys,4,21,0.16,15.5,76.5,9.2,11.5,-2.2,0.1,-2.2,10-15,-6.0,3-4,1-17,0-5,3-19,1-2,0-12,4-9,,
1915 FL_Season,1,Chicago Whales,86,66,0.566,--,,4.1,3.5,0.7,-0.1,0.6,88-64,-2.0,44-32,42-34,26-24,67-48,19-18,44-42,42-24,10-6,
1915 FL_Season,2,St. Louis Terriers,87,67,0.565,--,,4.0,3.3,0.7,-0.1,0.6,90-64,-3.0,43-34,44-33,30-22,69-51,18-16,46-42,41-25,5-7,
1915 FL_Season,3,Pittsburgh Rebels,86,67,0.562,0.5,1.0,3.8,3.4,0.4,0.0,0.4,85-68,1.0,45-31,41-36,23-20,69-51,17-16,43-44,43-23,8-5,
1915 FL_Season,4,Kansas City Packers,81,72,0.529,5.5,16.0,3.6,3.6,0.0,0.0,0.0,76-77,5.0,46-31,35-41,33-23,67-58,14-14,41-46,40-26,4-6,
1915 FL_Season,5,Newark Pepper,80,72,0.526,6.0,18.0,3.8,3.6,0.1,0.0,0.1,79-73,1.0,40-39,40-33,23-27,51-43,29-29,43-43,37-29,8-6,
1915 FL_Season,6,Buffalo Blues,74,78,0.487,12.0,48.0,3.8,4.1,-0.4,0.1,-0.3,69-83,5.0,37-40,37-38,24-20,66-69,8-9,49-61,25-17,4-5,
1915 FL_Season,7,Brooklyn Tip-Tops,70,82,0.461,16.0,72.0,4.2,4.4,-0.2,0.0,-0.1,73-79,-3.0,34-40,36-42,17-24,43-46,27-36,46-64,24-18,8-3,
1915 FL_Season,8,Baltimore Terrapins,47,107,0.305,40.0,240.0,3.6,4.9,-1.4,0.2,-1.2,55-99,-8.0,24-51,23-56,15-31,39-85,8-22,32-78,15-29,4-13,
1930 NL,1,St. Louis Cardinals,92,62,0.597,--,,6.5,5.1,1.4,-0.2,1.3,94-60,-2.0,53-24,39-38,23-31,64-41,28-21,43-45,49-17,4-7,
1930 NL,2,Chicago Cubs,90,64,0.584,2.0,2.0,6.4,5.6,0.8,-0.1,0.7,87-67,3.0,51-26,39-38,27-20,71-48,19-16,46-42,44-22,10-2,
1930 NL,3,New York Giants,87,67,0.565,5.0,8.0,6.2,5.3,0.9,-0.1,0.8,88-66,-1.0,46-31,41-36,20-23,65-50,22-17,45-43,42-24,7-6,
1930 NL,4,Brooklyn Robins,86,68,0.558,6.0,11.0,5.7,4.8,0.9,-0.1,0.8,89-65,-3.0,49-28,37-40,18-23,48-43,38-25,45-43,41-25,6-8,
1930 NL,5,Pittsburgh Pirates,80,74,0.519,12.0,35.0,5.8,6.0,-0.2,0.0,-0.2,74-80,6.0,42-35,38-39,24-15,52-43,28-31,41-47,39-27,6-6,
1930 NL,6,Boston Braves,70,84,0.455,22.0,85.0,4.5,5.4,-0.9,0.1,-0.8,64-90,6.0,39-38,31-46,34-22,44-58,26-26,43-67,27-17,9-4,
1930 NL,7,Cincinnati Reds,59,95,0.383,33.0,151.0,4.3,5.6,-1.2,0.2,-1.1,59-95,0.0,37-40,22-55,26-28,51-68,8-27,38-72,21-23,1-6,
1930 NL,8,Philadelphia Phillies,52,102,0.338,40.0,200.0,6.1,7.7,-1.6,0.2,-1.4,60-94,-8.0,35-42,17-60,18-28,28-74,24-28,34-76,18-26,3-7,
1925 AL,1,Washington Nationals,96,55,0.636,--,,5.5,4.4,1.0,-0.1,0.9,90-61,6.0,53-22,43-33,27-11,67-40,29-15,49-37,47-18,8-4,
1925 AL,2,Philadelphia Athletics,88,64,0.579,8.5,8.5,5.4,4.7,0.8,-0.1,0.7,87-65,1.0,51-26,37-38,22-23,68-46,20-18,47-39,41-25,8-5,
1925 AL,3,St. Louis Browns,82,71,0.536,15.0,21.5,5.8,5.9,0.0,0.0,0.0,76-77,6.0,45-32,37-39,26-16,48-45,34-26,44-44,38-27,8-5,
1925 AL,4,Detroit Tigers,81,73,0.526,16.5,26.0,5.8,5.3,0.5,-0.1,0.4,83-71,-2.0,43-34,38-39,20-19,54-52,27-21,39-49,42-24,5-10,
1925 AL,5,Chicago White Sox,79,75,0.513,18.5,34.0,5.3,5.0,0.3,0.0,0.2,81-73,-2.0,44-33,35-42,18-20,52-47,27-28,39-49,40-26,6-9,
1925 AL,6,Cleveland Indians,70,84,0.455,27.5,79.0,5.0,5.3,-0.2,0.0,-0.2,74-80,-4.0,37-39,33-45,24-28,49-56,21-28,45-65,25-19,8-7,
1925 AL,7,New York Yankees,69,85,0.448,28.5,85.0,4.5,5.0,-0.4,0.1,-0.4,71-83,-2.0,42-36,27-49,21-32,36-53,33-32,44-66,25-19,9-8,
1925 AL,8,Boston Red Sox,47,105,0.309,49.5,232.0,4.2,6.1,-1.9,0.2,-1.6,51-101,-4.0,28-47,19-58,15-24,27-72,20-33,31-77,16-28,4-8,
1920 NNL_Season,1,Chicago American Giants,43,17,0.717,--,,5.0,3.2,1.8,,,,,,,,,,,,,2.0
1920 NNL_Season,2,Kansas City Monarchs,44,33,0.571,7.5,7.5,5.1,4.5,0.6,,,,,,,,,,,,,2.0
1920 NNL_Season,3,Detroit Stars,37,27,0.578,8.0,8.5,5.0,4.4,0.6,,,,,,,,,,,,,0.0
1920 NNL_Season,4,Indianapolis ABCs,44,38,0.537,10.0,14.5,4.5,4.8,-0.3,,,,,,,,,,,,,4.0
1920 NNL_Season,5,Cuban Stars West,35,34,0.507,12.5,24.5,4.7,4.1,0.6,,,,,,,,,,,,,0.0
1920 NNL_Season,6,St. Louis Giants,32,40,0.444,17.0,47.0,3.9,4.7,-0.8,,,,,,,,,,,,,0.0
1920 NNL_Season,7,Dayton Marcos,16,36,0.308,23.0,83.0,3.8,5.8,-2.0,,,,,,,,,,,,,0.0
1920 NNL_Season,8,Chicago Giants,5,31,0.139,26.0,104.0,3.5,6.0,-2.5,,,,,,,,,,,,,0.0
1920 NL,1,Brooklyn Robins,93,61,0.604,--,,4.3,3.4,0.9,-0.1,0.7,93-61,0.0,49-29,44-32,27-28,73-46,20-15,37-29,56-32,10-7,
1920 NL,2,New York Giants,86,68,0.558,7.0,7.0,4.4,3.5,0.9,-0.1,0.8,93-61,-7.0,45-35,41-33,24-21,52-46,34-22,36-30,50-38,11-7,
1920 NL,3,Cincinnati Reds,82,71,0.536,10.5,14.0,4.1,3.7,0.5,-0.1,0.4,85-68,-3.0,42-34,40-37,23-23,55-52,27-19,30-36,52-35,8-11,
1920 NL,4,Pittsburgh Pirates,79,75,0.513,14.0,24.5,3.4,3.6,-0.1,0.0,-0.1,74-80,5.0,42-35,37-40,29-23,57-50,22-25,29-37,50-38,13-9,
1920 NL,5,Chicago Cubs,75,79,0.487,18.0,40.5,4.0,4.1,-0.1,0.0,-0.1,75-79,0.0,43-34,32-45,19-23,53-54,22-25,36-52,39-27,9-8,
1920 NL,6,St. Louis Cardinals,75,79,0.487,18.0,40.5,4.4,4.4,0.0,0.0,0.0,76-78,-1.0,38-38,37-41,23-25,56-57,19-22,38-50,37-29,12-14,
1920 NL,7,Boston Braves,62,90,0.408,30.0,112.5,3.4,4.4,-1.0,0.1,-0.8,59-93,3.0,36-37,26-53,26-26,41-59,21-31,34-53,28-37,10-11,
1920 NL,8,Philadelphia Phillies,62,91,0.405,30.5,116.0,3.7,4.7,-1.0,0.1,-0.9,60-93,2.0,32-45,30-46,22-24,42-65,20-26,35-53,27-38,8-14,
1905 AL,1,Philadelphia Athletics,92,56,0.622,--,,4.1,3.2,0.9,-0.1,0.8,90-58,2.0,51-22,41-34,32-28,73-44,19-12,40-25,52-31,,
1905 AL,2,Chicago White Sox,92,60,0.605,2.0,2.0,3.9,2.9,1.0,-0.1,0.9,97-55,-5.0,50-29,42-31,31-20,70-40,22-20,36-29,56-31,,
1905 AL,3,Detroit Tigers,79,74,0.516,15.5,29.0,3.3,3.9,-0.6,0.1,-0.5,65-88,14.0,45-30,34-44,32-16,61-46,18-28,32-34,47-40,,
1905 AL,4,Boston Americans,78,74,0.513,16.0,30.5,3.8,3.7,0.1,0.0,0.1,78-74,0.0,44-32,34-42,24-28,60-47,18-27,23-43,55-31,,
1905 AL,5,Cleveland Napoleons,76,78,0.494,19.0,42.5,3.6,3.8,-0.1,0.0,-0.1,74-80,2.0,41-36,35-42,23-19,60-52,16-26,36-52,40-26,,
1905 AL,6,New York Highlanders,71,78,0.477,21.5,55.0,3.9,4.1,-0.2,0.0,-0.2,71-78,0.0,40-35,31-43,20-22,59-50,12-28,31-52,40-26,,
1905 AL,7,Washington Nationals,64,87,0.424,29.5,103.0,3.6,4.0,-0.4,0.1,-0.4,68-83,-4.0,33-42,31-45,21-32,54-70,10-17,36-49,28-38,,
1905 AL,8,St. Louis Browns,54,99,0.353,40.5,180.0,3.3,3.9,-0.6,0.1,-0.5,65-88,-11.0,34-42,20-57,17-35,33-75,21-24,30-57,24-42,,
1890 NL,1,Louisville Colonels,88,44,0.667,,,6.1,4.4,1.7,-0.3,1.5,85-47,3.0,57-13,31-31,19-7,53-20,25-16,42-33,46-11,,
1890 NL,2,Brooklyn Bridegrooms,86,43,0.667,,,6.9,4.8,2.0,-0.3,1.7,85-44,1.0,58-16,28-27,14-4,69-40,17-3,41-30,45-13,,
1890 NL,3,Boston Reds,81,48,0.628,,,7.8,5.9,1.9,-0.3,1.5,81-48,0.0,48-21,33-27,17-8,69-41,8-6,45-29,36-19,,
1890 NL,4,Chicago Colts,83,53,0.61,,,6.1,5.0,1.1,-0.1,1.0,80-56,3.0,48-24,35-29,20-10,71-47,12-5,40-37,43-16,,
1890 NL,5,Columbus Solons,79,55,0.59,,,5.9,4.4,1.5,-0.2,1.4,85-49,-6.0,47-22,32-33,11-16,50-37,18-18,45-32,34-23,,
1890 NL,6,Brooklyn Ward's Wonders,76,56,0.576,,,7.2,6.7,0.5,-0.1,0.4,71-61,5.0,46-19,30-37,20-15,58-39,12-15,38-36,38-20,,
1890 NL,7,Philadelphia Phillies,78,53,0.595,,,6.2,5.3,0.9,-0.1,0.8,75-56,3.0,54-21,24-32,17-9,59-48,17-5,36-40,42-13,,
1890 NL,8,St. Louis Browns,77,58,0.57,,,6.3,5.3,1.0,-0.1,0.8,78-57,-1.0,44-25,33-33,15-11,50-33,16-14,40-36,37-22,,
1890 NL,9,New York Giants,74,57,0.565,,,7.7,6.6,1.1,-0.2,0.9,75-56,-1.0,47-19,27-38,13-13,60-41,14-13,32-40,42-17,,
1890 NL,10,Cincinnati Reds,77,55,0.583,,,5.6,4.7,0.9,-0.1,0.8,76-56,1.0,50-23,27-32,10-11,57-48,17-7,34-41,43-14,,
1890 NL,11,Chicago White Stockings,75,62,0.547,,,6.4,5.6,0.8,-0.1,0.7,77-60,-2.0,46-23,29-39,13-18,61-54,12-8,36-41,39-21,,
1890 NL,12,Toledo Maumees,68,64,0.515,,,5.5,5.1,0.4,-0.1,0.3,70-62,-2.0,40-27,28-37,17-21,41-42,16-14,31-42,37-22,,
1890 NL,13,Boston,76,57,0.571,,,5.7,4.4,1.3,-0.2,1.1,82-51,-6.0,43-23,33-34,21-17,59-53,17-4,36-39,40-18,,
1890 NL,14,Philadelphia Athletics,68,63,0.519,,,7.1,6.5,0.7,-0.1,0.5,71-60,-3.0,35-30,33-33,10-19,53-49,13-13,34-39,34-24,,
1890 NL,15,Rochester Broncos,63,63,0.5,,,5.3,5.3,0.0,0.0,0.0,63-63,0.0,40-22,23-41,12-14,34-48,22-12,29-44,34-19,,
1890 NL,16,New York Giants,63,68,0.481,,,5.3,5.2,0.1,-0.1,0.0,67-64,-4.0,37-27,26-41,11-21,49-60,14-8,34-59,29-9,,
1890 NL,17,Pittsburgh Burghers,60,68,0.469,,,6.5,7.1,-0.6,0.1,-0.4,59-69,1.0,37-28,23-40,11-10,42-55,15-13,38-56,22-12,,
1890 NL,18,Baltimore Orioles,15,19,0.441,,,4.8,5.1,-0.3,0.4,0.1,16-18,-1.0,8-11,7-8,2-5,4-12,5-3,12-15,3-4,,
1890 NL,19,Syracuse Stars,55,72,0.433,,,5.5,6.5,-1.0,0.1,-1.0,53-74,2.0,30-30,25-42,19-16,29-43,15-21,34-56,21-16,,
1890 NL,20,Cleveland Infants,55,75,0.423,,,6.5,7.8,-1.4,0.3,-1.1,54-76,1.0,31-30,24-45,17-14,41-58,11-12,39-59,16-16,,
1890 NL,21,Cleveland Spiders,44,88,0.333,,,4.6,6.1,-1.5,0.2,-1.3,50-82,-6.0,30-37,14-51,9-21,38-79,5-9,26-70,18-18,,
1890 NL,22,Philadelphia Athletics,54,78,0.409,,,5.3,7.2,-1.8,0.3,-1.6,48-84,6.0,36-36,18-42,13-16,33-51,14-22,32-67,22-11,,
1890 NL,23,Buffalo Bisons,36,96,0.273,,,5.9,8.9,-3.0,0.4,-2.6,42-90,-6.0,23-42,13-54,5-9,18-59,14-34,24-74,12-22,,
1890 NL,24,Allegheny City,23,113,0.169,,,4.3,8.9,-4.6,0.6,-4.0,28-108,-5.0,14-25,9-88,4-13,18-101,5-12,14-84,9-29,,
1890 NL,25,Brooklyn Gladiators,26,73,0.263,,,4.9,7.3,-2.4,0.2,-2.2,32-67,-6.0,15-22,11-50,12-14,14-49,9-14,19-50,7-22,,
1930 NNL_Season,1,St. Louis Stars,69,25,0.734,--,,7.8,5.0,2.9,,,,,,,,,,,,,1.0
1930 NNL_Season,2,Kansas City Monarchs,40,23,0.635,13.5,13.5,5.8,4.8,1.0,,,,,,,,,,,,,0.0
1930 NNL_Season,3,Detroit Stars,52,37,0.584,14.5,15.5,5.2,4.7,0.4,,,,,,,,,,,,,0.0
1930 NNL_Season,4,Chicago American Giants,53,49,0.52,20.0,32.0,4.3,5.7,-1.4,,,,,,,,,,,,,0.0
1930 NNL_Season,5,Birmingham Black Barons,46,48,0.489,23.0,44.0,4.8,5.2,-0.4,,,,,,,,,,,,,2.0
1930 NNL_Season,6,Louisville Black Caps,16,28,0.364,28.0,69.0,3.7,6.0,-2.2,,,,,,,,,,,,,0.0
1930 NNL_Season,7,Cuban Stars West,25,41,0.379,30.0,81.0,4.4,4.7,-0.3,,,,,,,,,,,,,0.0
1930 NNL_Season,8,Memphis Red Sox,30,51,0.37,32.5,98.5,4.8,6.2,-1.5,,,,,,,,,,,,,0.0
1930 NNL_Season,9,Nashville Elite Giants,26,55,0.321,36.5,130.5,4.0,6.8,-2.8,,,,,,,,,,,,,1.0
1925 NNL_Season,1,Kansas City Monarchs,59,23,0.72,--,,5.6,3.6,2.0,,,,,,,,,,,,,2.0
1925 NNL_Season,2,St. Louis Stars,59,30,0.663,3.5,3.5,7.1,5.2,1.9,,,,,,,,,,,,,2.0
1925 NNL_Season,3,Chicago American Giants,57,41,0.582,10.0,16.5,4.4,4.0,0.4,,,,,,,,,,,,,2.0
1925 NNL_Season,4,Detroit Stars,56,44,0.56,12.0,22.5,6.6,5.9,0.7,,,,,,,,,,,,,0.0
1925 NNL_Season,5,Cuban Stars West,20,30,0.4,23.0,66.5,5.7,6.7,-1.0,,,,,,,,,,,,,0.0
1925 NNL_Season,6,Memphis Red Sox,34,49,0.41,25.5,79.0,4.4,5.4,-1.0,,,,,,,,,,,,,1.0
1925 NNL_Season,7,Birmingham Black Barons,27,59,0.314,34.0,130.0,4.9,6.7,-1.8,,,,,,,,,,,,,1.0
1925 NNL_Season,8,Indianapolis ABCs,17,53,0.243,36.0,144.0,4.6,7.8,-3.2,,,,,,,,,,,,,0.0
1900 NL,1,Brooklyn Superbas,82,54,0.603,,,5.8,5.1,0.7,-0.1,0.6,76-60,6.0,43-26,39-28,18-17,62-46,19-8,18-19,64-35,,
1900 NL,2,Pittsburgh Pirates,79,60,0.568,,,5.2,4.4,0.9,-0.1,0.8,81-58,-2.0,42-28,37-32,20-24,64-41,15-19,22-17,57-43,,
1900 NL,3,Philadelphia Phillies,75,63,0.543,,,5.7,5.6,0.1,0.0,0.1,70-68,5.0,45-23,30-40,21-10,64-51,11-12,17-21,58-42,,
1900 NL,4,Boston,66,72,0.478,,,5.5,5.2,0.3,0.0,0.3,72-66,-6.0,42-29,24-43,18-19,53-58,13-14,18-42,48-30,,
1900 NL,5,St. Louis Cardinals,65,75,0.464,,,5.3,5.3,0.0,0.0,0.0,70-70,-5.0,40-31,25-44,14-25,52-58,13-16,24-36,41-39,,
1900 NL,6,Chicago Orphans,65,75,0.464,,,4.3,5.1,-0.8,0.1,-0.7,59-81,6.0,45-30,20-45,22-13,49-60,16-15,27-33,38-42,,
1900 NL,7,Cincinnati Reds,62,77,0.446,,,4.9,5.2,-0.3,0.0,-0.3,66-73,-4.0,27-34,35-43,23-23,51-66,11-11,25-34,37-43,,
1900 NL,8,New York Giants,60,78,0.435,,,5.1,5.8,-0.8,0.1,-0.7,60-78,0.0,38-31,22-47,18-23,42-65,18-13,26-34,34-44,,
1910 NL,1,Chicago Cubs,104,50,0.675,--,,4.6,3.2,1.4,-0.2,1.2,101-53,3.0,58-19,46-31,31-18,80-32,24-18,40-26,64-24,,
1910 NL,2,New York Giants,91,63,0.591,13.0,13.0,4.6,3.7,1.0,-0.1,0.8,93-61,-2.0,52-26,39-37,28-21,58-42,33-21,35-31,56-32,,
1910 NL,3,Pittsburgh Pirates,86,67,0.562,17.5,22.0,4.3,3.7,0.5,-0.1,0.4,85-68,1.0,46-30,40-37,23-22,70-57,16-10,31-35,55-32,,
1910 NL,4,Philadelphia Phillies,78,75,0.51,25.5,46.0,4.3,4.1,0.2,0.0,0.2,80-73,-2.0,40-36,38-39,20-19,63-62,15-13,26-40,52-35,,
1910 NL,5,Cincinnati Reds,75,79,0.487,29.0,60.0,4.0,4.4,-0.4,0.0,-0.4,70-84,5.0,39-37,36-42,23-18,67-73,8-6,34-54,41-25,,
1910 NL,6,Brooklyn Superbas,64,90,0.416,40.0,115.0,3.2,4.0,-0.8,0.1,-0.7,61-93,3.0,39-39,25-51,19-33,43-69,21-21,33-55,31-35,,
1910 NL,7,St. Louis Cardinals,63,90,0.412,40.5,118.0,4.2,4.7,-0.5,0.1,-0.5,68-85,-5.0,35-41,28-49,18-20,50-67,13-23,33-54,30-36,,
1910 NL,8,Boston Doves,53,100,0.346,50.5,188.0,3.2,4.5,-1.3,0.2,-1.1,53-100,0.0,29-48,24-52,17-28,47-84,6-16,23-64,30-36,,
1890 AA_Season,1,Louisville Colonels,88,44,0.667,--,,6.1,4.4,1.7,-0.3,1.5,85-47,3.0,57-13,31-31,19-7,53-20,25-16,42-33,46-11,,
1890 AA_Season,2,Columbus Solons,79,55,0.59,10.0,10.0,5.9,4.4,1.5,-0.2,1.4,85-49,-6.0,47-22,32-33,11-16,50-37,18-18,45-32,34-23,,
1890 AA_Season,3,St. Louis Browns,77,58,0.57,12.5,15.0,6.3,5.3,1.0,-0.1,0.8,78-57,-1.0,44-25,33-33,15-11,50-33,16-14,40-36,37-22,,
1890 AA_Season,4,Toledo Maumees,68,64,0.515,20.0,37.5,5.5,5.1,0.4,-0.1,0.3,70-62,-2.0,40-27,28-37,17-21,41-42,16-14,31-42,37-22,,
1890 AA_Season,5,Rochester Broncos,63,63,0.5,22.0,45.5,5.3,5.3,0.0,0.0,0.0,63-63,0.0,40-22,23-41,12-14,34-48,22-12,29-44,34-19,,
1890 AA_Season,6,Baltimore Orioles,15,19,0.441,24.0,55.5,4.8,5.1,-0.3,0.4,0.1,16-18,-1.0,8-11,7-8,2-5,4-12,5-3,12-15,3-4,,
1890 AA_Season,7,Syracuse Stars,55,72,0.433,30.5,94.5,5.5,6.5,-1.0,0.1,-1.0,53-74,2.0,30-30,25-42,19-16,29-43,15-21,34-56,21-16,,
1890 AA_Season,8,Philadelphia Athletics,54,78,0.409,34.0,119.0,5.3,7.2,-1.8,0.3,-1.6,48-84,6.0,36-36,18-42,13-16,33-51,14-22,32-67,22-11,,
1890 AA_Season,9,Brooklyn Gladiators,26,73,0.263,45.5,211.0,4.9,7.3,-2.4,0.2,-2.2,32-67,-6.0,15-22,11-50,12-14,14-49,9-14,19-50,7-22,,
1880 NL,1,Chicago White Stockings,67,17,0.798,,,6.3,3.7,2.6,-0.3,2.2,61-23,6.0,37-5,30-12,12-4,53-14,14-3,17-7,50-10,,
1880 NL,2,Providence Grays,52,32,0.619,,,4.8,3.4,1.4,-0.2,1.2,55-29,-3.0,31-12,21-20,11-12,47-25,5-7,12-12,40-20,,
1880 NL,3,Cleveland Blues,47,37,0.56,,,4.6,4.0,0.6,-0.1,0.5,47-37,0.0,24-19,23-18,11-8,39-32,8-5,7-17,40-20,,
1880 NL,4,Troy Trojans,41,42,0.494,,,4.7,5.3,-0.6,0.1,-0.5,37-46,4.0,20-21,21-21,8-11,34-30,7-12,10-26,31-16,,
1880 NL,5,Worcester Ruby Legs,40,43,0.482,,,4.8,4.4,0.5,0.0,0.5,46-37,-6.0,24-17,16-26,10-10,38-42,2-1,14-22,26-21,,
1880 NL,6,Boston,40,44,0.476,,,4.8,5.3,-0.5,0.0,-0.4,38-46,2.0,25-17,15-27,13-8,36-41,4-3,13-23,27-21,,
1880 NL,7,Buffalo Bisons,24,58,0.293,,,3.9,5.9,-2.0,0.2,-1.8,26-56,-2.0,13-28,11-30,10-13,16-53,8-4,6-30,18-28,,
1880 NL,8,Cincinnati Stars,21,59,0.263,,,3.6,5.7,-2.1,0.3,-1.8,24-56,-3.0,14-25,7-34,4-13,16-50,5-9,7-29,14-30,,
1915 AL,1,Boston Red Sox,101,50,0.669,--,,4.3,3.2,1.1,-0.1,0.9,95-56,6.0,55-20,46-30,29-21,66-36,35-14,41-24,60-26,7-4,
1915 AL,2,Detroit Tigers,100,54,0.649,2.5,2.5,5.0,3.8,1.2,-0.2,1.0,95-59,5.0,51-26,49-28,34-16,66-35,34-19,36-30,64-24,8-6,
1915 AL,3,Chicago White Sox,93,61,0.604,9.5,16.5,4.6,3.3,1.3,-0.2,1.2,100-54,-7.0,54-24,39-37,23-26,64-45,29-16,25-41,68-20,6-4,
1915 AL,4,Washington Nationals,85,68,0.556,17.0,39.0,3.7,3.2,0.5,-0.1,0.4,87-66,-2.0,50-29,35-39,25-23,67-51,18-17,29-36,56-32,9-6,
1915 AL,5,New York Yankees,69,83,0.454,32.5,101.0,3.8,3.8,0.0,0.0,0.0,76-76,-7.0,37-43,32-40,22-32,46-55,23-28,33-55,36-28,7-8,
1915 AL,6,St. Louis Browns,63,91,0.409,39.5,136.0,3.3,4.3,-1.0,0.1,-0.9,59-95,4.0,35-38,28-53,23-20,49-70,14-21,27-61,36-30,6-6,
1915 AL,7,Cleveland Indians,57,95,0.375,44.5,166.0,3.5,4.4,-0.9,0.1,-0.8,61-91,-4.0,27-50,30-45,21-30,42-74,15-21,21-65,36-30,3-10,
1915 AL,8,Philadelphia Athletics,43,109,0.283,58.5,264.0,3.5,5.8,-2.2,0.3,-2.0,44-108,-1.0,19-53,24-56,18-27,31-82,12-27,21-67,22-42,3-5,
