Rk,Tm,W,L,W-L%,GB,GBsum,R,RA,Rdiff,SOS,SRS,pythWL,Luck,Home,Road,1Run,vRHP,vLHP,â‰¥.500,<.500
1,Louisville Colonels,88,44,.667,--,,6.1,4.4,1.7,-0.3,1.5,85-47,3,57-13,31-31,19-7,53-20,25-16,42-33,46-11
2,Columbus Solons,79,55,.590,10.0,10.0,5.9,4.4,1.5,-0.2,1.4,85-49,-6,47-22,32-33,11-16,50-37,18-18,45-32,34-23
3,St. Louis Browns,77,58,.570,12.5,15.0,6.3,5.3,1.0,-0.1,0.8,78-57,-1,44-25,33-33,15-11,50-33,16-14,40-36,37-22
4,Toledo Maumees,68,64,.515,20.0,37.5,5.5,5.1,0.4,-0.1,0.3,70-62,-2,40-27,28-37,17-21,41-42,16-14,31-42,37-22
5,Rochester Broncos,63,63,.500,22.0,45.5,5.3,5.3,0.0,0.0,0.0,63-63,0,40-22,23-41,12-14,34-48,22-12,29-44,34-19
6,Baltimore Orioles,15,19,.441,24.0,55.5,4.8,5.1,-0.3,0.4,0.1,16-18,-1,8-11,7-8,2-5,4-12,5-3,12-15,3-4
7,Syracuse Stars,55,72,.433,30.5,94.5,5.5,6.5,-1.0,0.1,-1.0,53-74,2,30-30,25-42,19-16,29-43,15-21,34-56,21-16
8,Philadelphia Athletics,54,78,.409,34.0,119.0,5.3,7.2,-1.8,0.3,-1.6,48-84,6,36-36,18-42,13-16,33-51,14-22,32-67,22-11
9,Brooklyn Gladiators,26,73,.263,45.5,211.0,4.9,7.3,-2.4,0.2,-2.2,32-67,-6,15-22,11-50,12-14,14-49,9-14,19-50,7-22
